Site_Name,Country,Site_ID,Latitude,Longitude,NE_Latitude_edge,NE_Longitude_edge,NW_Latitude_edge,NW_Longitude_edge,SW_Latitude_edge,SW_Longitude_edge,SE_Latitude_edge,SE_Longitude_edge,Tower_pixel_1km,Tower_pixel_500m,Tower_pixel_250m,Site_Data_Visualization_URL
"COMPLET 119  (-13.5645 S 17.375 E)",Angola,fn_aocomple,-13.5645,17.375,-13.533333,17.399790,-13.533333,17.339791,-13.591667,17.344050,-13.591667,17.404064,25,106,408,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=1
"McMurdo Dry Valleys LTER (MCM1)",Antarctica,fn_aqmcmurd,-77.625,162.8827806,-77.600000,162.680886,-77.600000,162.409234,-77.658333,163.164874,-77.658333,163.437790,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=2
"Palmer Station - Anvers Island (PAL1)",Antarctica,fn_aqpalmer,-64.7,-64,-64.675000,-63.880428,-64.675000,-64.016799,-64.733333,-64.154855,-64.733333,-64.018189,25,92,352,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=3
"Syowa",Antarctica,fn_aqsyowa,-69,39.58333333,-68.975000,39.625548,-68.975000,39.462958,-69.033333,39.567786,-69.033333,39.730808,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=1124
"CEILAP-BA",Argentina,fn_arceilap,-34.566667,-58.5,-34.541667,-58.444633,-34.541667,-58.515451,-34.600000,-58.556519,-34.600000,-58.485651,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=5
"COMPLET 102  (-49.4919 S  -71.8992 W)",Argentina,fn_arcom102,-49.4919,-71.8992,-49.466667,-71.819811,-49.466667,-71.909569,-49.525000,-71.995328,-49.525000,-71.905462,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=6
"COMPLET 105  (-34.25 S -67.9073 W)",Argentina,fn_arcom105,-34.25,-67.9073,-34.225000,-67.849067,-34.225000,-67.919618,-34.283333,-67.966724,-34.283333,-67.896124,25,91,349,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=7
"Cordoba-CETT",Argentina,fn_arcordob,-31.524075,-64.46368194,-31.491667,-64.411821,-31.491667,-64.480230,-31.550000,-64.520504,-31.550000,-64.452053,25,106,436,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=8
"La Ciguena - Santa Fe",Argentina,fn_arlacigu,-29.264,-61.028,-29.233333,-60.974112,-29.233333,-61.040959,-29.291667,-61.075790,-29.291667,-61.008905,25,105,406,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=9
"Laprida (VALERI)",Argentina,fn_arlaprid,-36.99037222,-60.55259167,-36.958333,-60.486759,-36.958333,-60.559761,-37.016667,-60.606219,-37.016667,-60.533162,25,105,433,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=10
"Department Moreno- Santiago del Estero",Argentina,fn_arsantia,-27.20777778,-63.03718611,-27.175000,-62.985996,-27.175000,-63.051568,-27.233333,-63.084573,-27.233333,-63.018967,25,106,435,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=11
"Langenfeld",Austria,fn_atlangen,47.06383,10.96451944,47.091667,11.016008,47.091667,10.930328,47.033333,10.918375,47.033333,11.003961,25,91,378,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=12
"Leutasch",Austria,fn_atleutas,47.37887,11.16558056,47.408333,11.217517,47.408333,11.131323,47.350000,11.119015,47.350000,11.205113,25,105,406,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=13
"Neustift/Stubai Valley",Austria,fn_atneusti,47.1162,11.32035,47.141667,11.369406,47.141667,11.283646,47.083333,11.271284,47.083333,11.356951,25,91,350,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=14
"Schlitters",Austria,fn_atschlit,47.3682,11.85617,47.400000,11.905185,47.400000,11.819004,47.341667,11.805939,47.341667,11.892024,25,106,435,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=15
"Zobelboden",Austria,fn_atzobelb,47.83831167,14.43835167,47.866667,14.483936,47.866667,14.396983,47.808333,14.380805,47.808333,14.467661,25,92,380,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=16
"Alice Springs",Australia,fn_aualsprg,-23.8,133.8833333,-23.775000,133.887253,-23.775000,133.823510,-23.833333,133.883628,-23.833333,133.947399,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=1125
"Burdekin Delta",Australia,fn_aucairns,-19.56666667,147.4,-19.541667,147.407565,-19.541667,147.345666,-19.600000,147.399007,-19.600000,147.460928,25,92,351,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=17
"Camerons",Australia,fn_aucamero,-32.59,116.26,-32.558333,116.253228,-32.558333,116.184018,-32.616667,116.259654,-32.616667,116.328910,25,106,435,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=18
"Canberra",Australia,fn_aucanber,-35.2713,149.1111111,-35.241667,149.091302,-35.241667,149.019879,-35.300000,149.127224,-35.300000,149.198699,25,106,407,http://daac.ornl.gov/cgi-bin/MODIS/GR_col5_1/mod_viz.html?id=19
